product_id,impact_category,unit,total
singlescore_13_1,"Eutrophication, terrestrial",Pt,0.0007227000000000001
singlescore_13_1,"Ecotoxicity, freshwater",Pt,9.285662
singlescore_13_1,Land use,Pt,1612.0529999999999
singlescore_13_1,Water use,Pt,0.206569
singlescore_13_1,"Resource use, fossils",Pt,194.01389999999998
singlescore_13_1,"Resource use, minerals and metals",Pt,1.5072e-10
singlescore_13_1,Climate change - Fossil,Pt,0
singlescore_13_1,Climate change - Biogenic,Pt,0
singlescore_13_1,Climate change - Land use and LU change,Pt,0
singlescore_13_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_13_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_13_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_13_1,"Human toxicity, cancer - organics",Pt,0
singlescore_13_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_13_1,"Human toxicity, cancer - metals",Pt,0
singlescore_13_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_13_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_13_1,"Ecotoxicity, freshwater - metals",Pt,0
singlescore_14_1,Total,Pt,5148.343165711595
singlescore_14_1,Climate change,Pt,12.32805
singlescore_14_1,Ozone depletion,Pt,1.47556e-12
singlescore_14_1,Ionising radiation,Pt,0.091152
singlescore_14_1,Photochemical ozone formation,Pt,0.00012998
singlescore_14_1,Particulate matter,Pt,1.7875400000000003e-14
singlescore_14_1,"Human toxicity, non-cancer",Pt,1.1973799999999997e-15
singlescore_14_1,"Human toxicity, cancer",Pt,9.348e-18
singlescore_14_1,Acidification,Pt,0.000195048
singlescore_14_1,"Eutrophication, freshwater",Pt,2.3895999999999998e-8
singlescore_14_1,"Eutrophication, marine",Pt,0.0000178494
singlescore_14_1,"Eutrophication, terrestrial",Pt,0.00153081
singlescore_14_1,"Ecotoxicity, freshwater",Pt,25.753830999999998
singlescore_14_1,Land use,Pt,4640.91
singlescore_14_1,Water use,Pt,0.627539
singlescore_14_1,"Resource use, fossils",Pt,468.63072000000005
singlescore_14_1,"Resource use, minerals and metals",Pt,2.976e-10
singlescore_14_1,Climate change - Fossil,Pt,0
singlescore_14_1,Climate change - Biogenic,Pt,0
singlescore_14_1,Climate change - Land use and LU change,Pt,0
singlescore_14_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_14_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_14_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_14_1,"Human toxicity, cancer - organics",Pt,0
singlescore_14_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_14_1,"Human toxicity, cancer - metals",Pt,0
singlescore_14_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_14_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_14_1,"Ecotoxicity, freshwater - metals",Pt,0
singlescore_15_1,Total,Pt,1125.3191913031221
singlescore_15_1,Climate change,Pt,0.34161
singlescore_15_1,Ozone depletion,Pt,4.7656e-14
singlescore_15_1,Ionising radiation,Pt,0.0024265
singlescore_15_1,Photochemical ozone formation,Pt,0.0000037636
singlescore_15_1,Particulate matter,Pt,7.844600000000001e-16
singlescore_15_1,"Human toxicity, non-cancer",Pt,1.10998e-16
singlescore_15_1,"Human toxicity, cancer",Pt,1.5661999999999998e-19
singlescore_15_1,Acidification,Pt,0.0000057448000000000005
singlescore_15_1,"Eutrophication, freshwater",Pt,5.6032e-10
singlescore_15_1,"Eutrophication, marine",Pt,5.413480000000001e-7
singlescore_15_1,"Eutrophication, terrestrial",Pt,0.000046252800000000005
singlescore_15_1,"Ecotoxicity, freshwater",Pt,0.732302
singlescore_15_1,Land use,Pt,1111.443
singlescore_15_1,Water use,Pt,0.0230065
singlescore_15_1,"Resource use, fossils",Pt,12.77679
singlescore_15_1,"Resource use, minerals and metals",Pt,1.3967999999999999e-11
singlescore_15_1,Climate change - Fossil,Pt,0
singlescore_15_1,Climate change - Biogenic,Pt,0
singlescore_15_1,Climate change - Land use and LU change,Pt,0
singlescore_15_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_15_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_15_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_15_1,"Human toxicity, cancer - organics",Pt,0
singlescore_15_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_15_1,"Human toxicity, cancer - metals",Pt,0
singlescore_15_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_15_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_15_1,"Ecotoxicity, freshwater - metals",Pt,0
singlescore_16_1,Total,Pt,10155.19983799006
singlescore_16_1,Climate change,Pt,29.36253
singlescore_16_1,Ozone depletion,Pt,4.4844e-12
singlescore_16_1,Ionising radiation,Pt,0.221339
singlescore_16_1,Photochemical ozone formation,Pt,0.0004268
singlescore_16_1,Particulate matter,Pt,3.4657700000000005e-14
singlescore_16_1,"Human toxicity, non-cancer",Pt,3.0240399999999997e-15
singlescore_16_1,"Human toxicity, cancer",Pt,1.0988e-17
singlescore_16_1,Acidification,Pt,0.0006157599999999999
singlescore_16_1,"Eutrophication, freshwater",Pt,4.8616e-8
singlescore_16_1,"Eutrophication, marine",Pt,0.0000610902
singlescore_16_1,"Eutrophication, terrestrial",Pt,0.00523629
singlescore_16_1,"Ecotoxicity, freshwater",Pt,61.95669899999999
singlescore_16_1,Land use,Pt,8881.554
singlescore_16_1,Water use,Pt,1.25312
singlescore_16_1,"Resource use, fossils",Pt,1180.84581
singlescore_16_1,"Resource use, minerals and metals",Pt,1.2384e-9
singlescore_16_1,Climate change - Fossil,Pt,0
singlescore_16_1,Climate change - Biogenic,Pt,0
singlescore_16_1,Climate change - Land use and LU change,Pt,0
singlescore_16_1,"Human toxicity, non-cancer - organics",Pt,0
singlescore_16_1,"Human toxicity, non-cancer - inorganics",Pt,0
singlescore_16_1,"Human toxicity, non-cancer - metals",Pt,0
singlescore_16_1,"Human toxicity, cancer - organics",Pt,0
singlescore_16_1,"Human toxicity, cancer - inorganics",Pt,0
singlescore_16_1,"Human toxicity, cancer - metals",Pt,0
singlescore_16_1,"Ecotoxicity, freshwater - organics",Pt,0
singlescore_16_1,"Ecotoxicity, freshwater - inorganics",Pt,0
singlescore_16_1,"Ecotoxicity, freshwater - metals",Pt,0
singlescore_17_1,Total,Pt,2077.4237986285693
singlescore_17_1,Climate change,Pt,5.00379
singlescore_17_1,Ozone depletion,Pt,5.2096e-13
singlescore_17_1,Ionising radiation,Pt,0.036925
singlescore_17_1,Photochemical ozone formation,Pt,0.000020757999999999997
singlescore_17_1,Particulate matter,Pt,9.1306e-15
singlescore_17_1,"Human toxicity, non-cancer",Pt,9.3518e-16
singlescore_17_1,"Human toxicity, cancer",Pt,4.5428e-18
singlescore_17_1,Acidification,Pt,0.000039904
singlescore_17_1,"Eutrophication, freshwater",Pt,1.4111e-8
singlescore_17_1,"Eutrophication, marine",Pt,0.0000017262800000000002
singlescore_17_1,"Eutrophication, terrestrial",Pt,0.00014322600000000001
singlescore_17_1,"Ecotoxicity, freshwater",Pt,13.362582
singlescore_17_1,Land use,Pt,1875.345
singlescore_17_1,Water use,Pt,0.336776
singlescore_17_1,"Resource use, fossils",Pt,183.33852000000002
singlescore_17_1,"Resource use, minerals and metals",Pt,1.7759999999999999e-10
singlescore_17_1,Climate change - Fossil,Pt,0
singlescore_17_1,Climate change - Biogenic,Pt,0
